,result_madden_new,result_ML,For,Against,Madden_vs_ML
93,L,L,Denver Broncos,Los Angeles Chargers,Same
94,L,L,New Orleans Saints,Arizona Cardinals,Same
95,W,W,Tampa Bay Buccaneers,Carolina Panthers,Same
96,L,L,Atlanta Falcons,Cincinnati Bengals,Same
97,L,L,Detroit Lions,Dallas Cowboys,Same
98,L,L,New York Giants,Jacksonville Jaguars,Same
99,W,W,Indianapolis Colts,Tennessee Titans,Same
100,W,W,Cleveland Browns,Baltimore Ravens,Same
101,W,W,Green Bay Packers,Washington Commanders,Same
102,W,W,New York Jets,Denver Broncos,Same
103,L,L,Houston Texans,Las Vegas Raiders,Same
104,L,L,Seattle Seahawks,Los Angeles Chargers,Same
105,W,W,Kansas City Chiefs,San Francisco 49ers,Same
106,W,L,Pittsburgh Steelers,Miami Dolphins,DifferentWL
107,L,L,Chicago Bears,New England Patriots,Same
108,L,W,Baltimore Ravens,Tampa Bay Buccaneers,DifferentLW
109,L,L,Denver Broncos,Jacksonville Jaguars,Same
110,L,W,Carolina Panthers,Atlanta Falcons,DifferentLW
111,L,L,Chicago Bears,Dallas Cowboys,Same
112,L,L,Miami Dolphins,Detroit Lions,Same
113,L,L,Arizona Cardinals,Minnesota Vikings,Same
114,W,W,Las Vegas Raiders,New Orleans Saints,Same
115,W,W,New England Patriots,New York Jets,Same
116,L,L,Pittsburgh Steelers,Philadelphia Eagles,Same
117,L,L,Tennessee Titans,Houston Texans,Same
118,W,L,Washington Commanders,Indianapolis Colts,DifferentWL
119,L,L,San Francisco 49ers,Los Angeles Rams,Same
120,L,L,New York Giants,Seattle Seahawks,Same
121,L,L,Green Bay Packers,Buffalo Bills,Same
122,L,L,Cincinnati Bengals,Cleveland Browns,Same
123,W,W,Philadelphia Eagles,Houston Texans,Same
124,W,W,Los Angeles Chargers,Atlanta Falcons,Same
125,W,W,Miami Dolphins,Chicago Bears,Same
126,L,L,Carolina Panthers,Cincinnati Bengals,Same
127,W,W,Green Bay Packers,Detroit Lions,Same
128,W,W,Las Vegas Raiders,Jacksonville Jaguars,Same
129,L,W,Indianapolis Colts,New England Patriots,DifferentLW
130,W,W,Buffalo Bills,New York Jets,Same
131,W,W,Minnesota Vikings,Washington Commanders,Same
132,L,L,Seattle Seahawks,Arizona Cardinals,Same
133,W,W,Los Angeles Rams,Tampa Bay Buccaneers,Same
134,L,W,Tennessee Titans,Kansas City Chiefs,DifferentLW
135,L,L,Baltimore Ravens,New Orleans Saints,Same
136,W,L,Atlanta Falcons,Carolina Panthers,DifferentWL
137,L,L,Seattle Seahawks,Tampa Bay Buccaneers,Same
138,L,L,Minnesota Vikings,Buffalo Bills,Same
139,W,W,Detroit Lions,Chicago Bears,Same
140,L,W,Jacksonville Jaguars,Kansas City Chiefs,DifferentLW
141,W,W,Cleveland Browns,Miami Dolphins,Same
142,W,W,Houston Texans,New York Giants,Same
143,L,L,Denver Broncos,Tennessee Titans,Same
144,L,L,New Orleans Saints,Pittsburgh Steelers,Same
145,L,L,Indianapolis Colts,Las Vegas Raiders,Same
146,W,L,Dallas Cowboys,Green Bay Packers,DifferentWL
147,L,L,Arizona Cardinals,Los Angeles Rams,Same
148,W,W,Los Angeles Chargers,San Francisco 49ers,Same
149,L,L,Washington Commanders,Philadelphia Eagles,Same
150,L,L,Tennessee Titans,Green Bay Packers,Same
151,L,W,Chicago Bears,Atlanta Falcons,DifferentLW
152,L,L,Cleveland Browns,Buffalo Bills,Same
153,W,W,Philadelphia Eagles,Indianapolis Colts,Same
154,W,L,Washington Commanders,Houston Texans,DifferentWL
155,W,W,Los Angeles Rams,New Orleans Saints,Same
156,L,W,New York Jets,New England Patriots,DifferentLW
157,W,W,Detroit Lions,New York Giants,Same
158,L,L,Carolina Panthers,Baltimore Ravens,Same
159,W,W,Las Vegas Raiders,Denver Broncos,Same
160,L,L,Dallas Cowboys,Minnesota Vikings,Same
161,L,L,Kansas City Chiefs,Los Angeles Chargers,Same
162,W,W,Cincinnati Bengals,Pittsburgh Steelers,Same
163,L,L,San Francisco 49ers,Arizona Cardinals,Same
164,W,W,Buffalo Bills,Detroit Lions,Same
165,L,L,New York Giants,Dallas Cowboys,Same
166,L,L,New England Patriots,Minnesota Vikings,Same
167,W,W,Denver Broncos,Carolina Panthers,Same
168,L,L,Tampa Bay Buccaneers,Cleveland Browns,Same
169,W,L,Baltimore Ravens,Jacksonville Jaguars,DifferentWL
170,W,W,Houston Texans,Miami Dolphins,Same
171,L,L,Chicago Bears,New York Jets,Same
172,W,W,Cincinnati Bengals,Tennessee Titans,Same
173,L,L,Atlanta Falcons,Washington Commanders,Same
174,W,W,Los Angeles Chargers,Arizona Cardinals,Same
175,W,W,Las Vegas Raiders,Seattle Seahawks,Same
176,W,W,Los Angeles Rams,Kansas City Chiefs,Same
177,L,L,New Orleans Saints,San Francisco 49ers,Same
178,L,L,Green Bay Packers,Philadelphia Eagles,Same
179,L,W,Pittsburgh Steelers,Indianapolis Colts,DifferentLW
180,W,W,Buffalo Bills,New England Patriots,Same
181,W,L,Pittsburgh Steelers,Atlanta Falcons,DifferentWL
182,W,W,Green Bay Packers,Chicago Bears,Same
183,L,W,Jacksonville Jaguars,Detroit Lions,DifferentLW
184,W,W,Cleveland Browns,Houston Texans,Same
185,L,L,New York Jets,Minnesota Vikings,Same
186,W,W,Washington Commanders,New York Giants,Same
187,L,L,Tennessee Titans,Philadelphia Eagles,Same
188,L,L,Denver Broncos,Baltimore Ravens,Same
189,L,L,Seattle Seahawks,Los Angeles Rams,Same
190,L,L,Miami Dolphins,San Francisco 49ers,Same
191,L,L,Kansas City Chiefs,Cincinnati Bengals,Same
192,W,L,Los Angeles Chargers,Las Vegas Raiders,DifferentWL
193,L,W,Indianapolis Colts,Dallas Cowboys,DifferentLW
194,L,L,New Orleans Saints,Tampa Bay Buccaneers,Same
195,L,L,Las Vegas Raiders,Los Angeles Rams,Same
196,L,L,New York Jets,Buffalo Bills,Same
197,W,W,Cleveland Browns,Cincinnati Bengals,Same
198,L,L,Houston Texans,Dallas Cowboys,Same
199,W,W,Minnesota Vikings,Detroit Lions,Same
200,W,W,Philadelphia Eagles,New York Giants,Same
201,L,W,Jacksonville Jaguars,Tennessee Titans,DifferentLW
202,L,W,Baltimore Ravens,Pittsburgh Steelers,DifferentLW
203,L,L,Miami Dolphins,Los Angeles Chargers,Same
204,L,L,Carolina Panthers,Seattle Seahawks,Same
205,W,L,Tampa Bay Buccaneers,San Francisco 49ers,DifferentWL
206,W,W,Kansas City Chiefs,Denver Broncos,Same
207,W,L,New England Patriots,Arizona Cardinals,DifferentWL
208,W,W,San Francisco 49ers,Seattle Seahawks,Same
209,L,L,Miami Dolphins,Buffalo Bills,Same
210,W,W,Pittsburgh Steelers,Carolina Panthers,Same
211,W,W,Philadelphia Eagles,Chicago Bears,Same
212,L,L,Baltimore Ravens,Cleveland Browns,Same
213,W,L,Kansas City Chiefs,Houston Texans,DifferentWL
214,W,W,Dallas Cowboys,Jacksonville Jaguars,Same
215,L,L,Indianapolis Colts,Minnesota Vikings,Same
216,L,L,Atlanta Falcons,New Orleans Saints,Same
217,W,L,Detroit Lions,New York Jets,DifferentWL
218,L,L,New York Giants,Washington Commanders,Same
219,W,W,Arizona Cardinals,Denver Broncos,Same
220,L,L,Tennessee Titans,Los Angeles Chargers,Same
221,L,W,Cincinnati Bengals,Tampa Bay Buccaneers,DifferentLW
222,L,L,New England Patriots,Las Vegas Raiders,Same
223,W,W,Los Angeles Rams,Green Bay Packers,Same
224,L,W,Jacksonville Jaguars,New York Jets,DifferentLW
225,W,W,Detroit Lions,Carolina Panthers,Same
226,W,W,Buffalo Bills,Chicago Bears,Same
227,L,L,New Orleans Saints,Cleveland Browns,Same
228,L,W,Seattle Seahawks,Kansas City Chiefs,DifferentLW
229,L,L,New York Giants,Minnesota Vikings,Same
230,W,L,Cincinnati Bengals,New England Patriots,DifferentWL
231,W,W,Houston Texans,Tennessee Titans,Same
232,L,L,Atlanta Falcons,Baltimore Ravens,Same
233,L,L,Washington Commanders,San Francisco 49ers,Same
234,W,W,Philadelphia Eagles,Dallas Cowboys,Same
235,W,W,Las Vegas Raiders,Pittsburgh Steelers,Same
236,W,L,Green Bay Packers,Miami Dolphins,DifferentWL
237,L,L,Denver Broncos,Los Angeles Rams,Same
238,W,L,Tampa Bay Buccaneers,Arizona Cardinals,DifferentWL
239,W,W,Los Angeles Chargers,Indianapolis Colts,Same
240,W,W,Dallas Cowboys,Tennessee Titans,Same
241,W,W,Arizona Cardinals,Atlanta Falcons,Same
242,L,L,Chicago Bears,Detroit Lions,Same
243,L,L,Jacksonville Jaguars,Houston Texans,Same
244,L,L,Denver Broncos,Kansas City Chiefs,Same
245,L,L,Miami Dolphins,New England Patriots,Same
246,W,W,Indianapolis Colts,New York Giants,Same
247,L,L,New Orleans Saints,Philadelphia Eagles,Same
248,L,L,Pittsburgh Steelers,Baltimore Ravens,Same
249,L,L,Carolina Panthers,Tampa Bay Buccaneers,Same
250,W,W,Cleveland Browns,Washington Commanders,Same
251,L,L,San Francisco 49ers,Las Vegas Raiders,Same
252,W,W,New York Jets,Seattle Seahawks,Same
253,W,W,Minnesota Vikings,Green Bay Packers,Same
254,L,W,Los Angeles Rams,Los Angeles Chargers,DifferentLW
255,W,W,Buffalo Bills,Cincinnati Bengals,Same
256,W,W,Tampa Bay Buccaneers,Atlanta Falcons,Same
257,L,L,New England Patriots,Buffalo Bills,Same
258,W,W,Minnesota Vikings,Chicago Bears,Same
259,L,W,Baltimore Ravens,Cincinnati Bengals,DifferentLW
260,L,W,Houston Texans,Indianapolis Colts,DifferentLW
261,W,W,Los Angeles Chargers,Denver Broncos,Same
262,L,L,Detroit Lions,Green Bay Packers,Same
263,W,L,Tennessee Titans,Jacksonville Jaguars,DifferentWL
264,W,W,New York Jets,Miami Dolphins,Same
265,L,L,Carolina Panthers,New Orleans Saints,Same
266,L,L,New York Giants,Philadelphia Eagles,Same
267,W,W,Cleveland Browns,Pittsburgh Steelers,Same
268,L,L,Kansas City Chiefs,Las Vegas Raiders,Same
269,W,W,Los Angeles Rams,Seattle Seahawks,Same
270,W,W,Arizona Cardinals,San Francisco 49ers,Same
271,W,W,Dallas Cowboys,Washington Commanders,Same
